年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2018,2,7,9,4,8,20,4,4,4,0,4,8,16,8,0,12,8,0,4,4,0,0,12
2018,2,7,10,4,16,8,0,4,0,4,8,0,4,4,4,4,12,4,4,12,12,0,0
2018,2,7,11,8,16,12,8,0,0,4,28,8,16,0,4,4,24,4,8,4,4,0,4
2018,2,7,12,0,8,8,4,0,0,8,16,8,4,0,8,4,8,0,0,16,4,16,0
2018,2,7,13,0,0,0,0,0,0,0,0,4,4,4,0,8,16,0,0,20,0,4,0
2018,2,7,14,0,16,12,0,0,0,4,8,0,0,4,0,12,12,0,0,0,4,0,0
2018,2,7,15,8,16,0,20,4,4,12,4,4,8,20,0,0,0,0,12,0,0,4,24
2018,2,7,16,4,8,12,8,0,12,28,16,4,0,8,4,0,20,0,4,12,0,4,4
2018,2,7,17,0,20,4,12,4,4,8,0,4,12,0,4,16,28,4,8,20,12,8,4
2018,2,7,18,12,8,8,12,4,0,4,4,4,16,0,16,12,28,8,4,20,4,4,20
2018,2,7,19,4,16,4,16,8,4,8,8,4,4,4,16,24,20,4,8,12,0,,12
2018,2,7,20,0,4,4,8,0,4,0,0,4,4,8,20,16,36,16,8,8,28,,16
2018,2,7,21,0,20,12,0,4,4,0,8,4,4,0,4,4,4,8,4,4,4,,4
2018,2,7,22,4,4,16,0,4,4,0,0,0,4,4,8,4,12,8,0,4,4,,20
2018,2,7,23,0,24,4,0,0,8,4,0,0,4,0,4,8,16,0,0,4,4,,0
2018,2,7,24,0,12,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,,4
2018,2,8,1,0,8,0,8,0,0,0,0,0,0,0,4,0,8,0,8,0,4,,0
2018,2,8,2,0,16,8,4,0,0,0,0,8,4,0,0,4,0,0,0,4,0,,0
2018,2,8,3,0,16,8,8,4,0,0,0,0,0,0,4,0,0,0,8,4,8,,0
2018,2,8,4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,,4
2018,2,8,5,4,16,0,0,0,8,0,4,8,0,0,0,4,0,0,4,0,0,,4
2018,2,8,6,0,4,12,8,8,0,0,0,4,0,0,0,4,4,0,8,0,0,,0
2018,2,8,7,0,20,4,4,4,4,4,0,0,4,0,4,4,16,0,8,0,4,,0
2018,2,8,8,8,20,12,12,0,8,4,0,8,4,8,0,0,8,0,32,0,12,,4
2018,2,8,9,0,36,8,20,8,8,4,8,8,4,0,8,0,12,0,8,8,0,4,8
2018,2,8,10,0,8,8,16,0,0,4,0,4,0,0,4,12,8,4,4,4,4,0,8
2018,2,8,11,0,4,4,8,4,0,0,4,4,4,4,0,4,8,0,4,8,8,12,20
2018,2,8,12,0,4,20,0,0,4,12,8,8,0,0,8,4,4,0,0,4,4,12,0
2018,2,8,13,0,8,12,0,0,4,0,0,12,0,4,4,8,4,0,16,4,0,12,0
2018,2,8,14,0,12,12,4,4,4,8,0,0,4,4,12,0,8,0,12,0,0,0,4
2018,2,8,15,4,12,24,20,0,8,8,0,12,4,0,0,0,4,0,8,12,8,0,16
2018,2,8,16,4,20,4,8,8,0,4,12,0,4,0,0,4,4,0,4,8,0,0,20
2018,2,8,17,4,20,12,4,8,8,4,8,16,8,4,4,8,16,0,4,12,4,16,4
2018,2,8,18,28,20,4,12,12,8,0,0,0,0,0,0,12,12,4,8,0,0,,4
2018,2,8,19,0,24,4,4,0,8,4,16,8,0,8,4,12,20,4,8,16,0,,4
2018,2,8,20,0,24,0,12,0,0,8,4,4,0,12,4,8,20,0,4,4,8,,4
2018,2,8,21,0,12,0,0,0,0,4,4,0,4,0,4,20,12,0,0,0,4,,8
2018,2,8,22,0,20,0,0,0,0,12,0,4,0,0,0,4,4,0,0,0,0,,8
2018,2,8,23,0,24,0,0,0,0,0,0,4,0,0,0,0,4,0,4,4,0,,4
2018,2,8,24,0,8,12,16,0,0,4,0,4,4,4,4,0,16,0,0,4,0,,4
2018,2,9,1,0,0,4,4,0,0,4,0,0,0,8,4,0,12,0,4,0,0,,4
2018,2,9,2,0,12,4,4,4,0,4,0,0,0,0,4,8,4,0,0,0,0,,12
2018,2,9,3,0,16,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,8,,0
2018,2,9,4,0,4,8,4,0,0,4,0,0,0,4,0,8,8,0,0,0,4,,4
2018,2,9,5,0,4,20,0,0,4,0,8,0,0,0,0,0,4,0,0,4,4,,4
2018,2,9,6,0,0,16,0,0,0,4,4,0,0,4,0,4,0,0,8,4,0,,0
2018,2,9,7,4,4,4,12,4,4,4,0,0,0,0,0,12,0,0,4,0,4,,4
2018,2,9,8,4,16,20,12,8,4,0,12,4,0,4,4,8,8,0,20,0,0,,24
2018,2,9,9,4,12,8,0,0,20,0,4,12,4,4,4,4,8,0,8,20,0,12,16
2018,2,9,10,4,24,8,8,0,0,4,4,0,0,4,0,8,4,4,16,12,12,4,20
2018,2,9,11,4,20,8,8,0,4,4,0,4,12,4,8,12,8,0,4,20,12,12,16
2018,2,9,12,0,12,8,8,4,4,8,8,0,0,16,0,8,4,4,0,4,12,16,4
2018,2,9,13,4,12,8,4,4,12,8,4,4,0,4,4,8,4,0,0,12,4,4,4
2018,2,9,14,4,8,41,12,0,0,4,0,8,4,0,0,0,8,0,8,12,4,4,4
2018,2,9,15,0,24,8,12,0,4,8,8,4,0,8,0,0,12,0,0,0,16,12,0
2018,2,9,16,8,0,16,0,0,0,12,0,4,4,8,0,4,0,0,4,12,12,8,0
2018,2,9,17,8,12,57,4,12,8,24,4,8,8,24,8,8,12,0,0,16,8,4,24
