年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光特別地域気象観測所,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2017,2,5,11,8,20,12,24,28,0,12,24,28,41,16,8,4,12,28,16,0,8,4,20
2017,2,5,12,16,8,8,32,8,0,4,16,24,16,0,12,4,28,16,12,12,4,0,0
2017,2,5,13,8,49,8,8,12,12,4,20,49,12,4,24,0,49,8,36,16,4,20,8
2017,2,5,14,24,36,20,12,4,-9998,4,8,65,20,32,12,12,53,32,28,28,0,12,12
2017,2,5,15,12,36,0,12,8,0,0,16,32,4,4,8,8,4,8,28,20,4,12,12
2017,2,5,16,16,20,0,4,0,4,0,8,36,8,4,0,8,4,4,32,24,8,0,0
2017,2,5,17,20,20,0,0,4,0,4,28,45,16,12,8,36,4,4,8,8,8,8,4
2017,2,5,18,4,0,0,0,4,0,0,8,24,8,0,8,0,0,0,24,16,0,0,4
2017,2,5,19,20,8,0,0,0,0,0,4,12,20,4,4,0,0,0,4,4,0,0,0
2017,2,5,20,0,4,0,0,16,0,0,12,24,0,4,4,0,0,4,12,0,0,0,0
2017,2,5,21,0,20,0,8,0,0,0,8,12,0,4,0,0,41,0,8,8,0,8,4
2017,2,5,22,4,41,0,0,4,0,0,4,8,0,0,0,0,4,0,12,12,0,4,0
2017,2,5,23,0,16,0,0,4,0,0,4,0,4,0,4,0,0,0,4,4,0,8,16
2017,2,5,24,0,16,0,8,0,0,0,8,0,0,0,4,0,12,0,0,4,8,4,0
2017,2,6,1,0,16,4,4,0,0,4,8,4,0,0,4,0,0,4,4,4,4,8,12
2017,2,6,2,0,8,4,0,28,0,0,8,0,4,4,8,8,4,0,4,0,0,0,0
2017,2,6,3,0,12,0,0,0,0,0,0,4,0,8,0,24,4,0,4,0,4,0,20
2017,2,6,4,4,12,4,0,0,0,4,0,8,4,0,0,4,0,0,4,0,0,0,0
2017,2,6,5,0,8,4,0,0,32,0,4,0,0,0,0,0,24,0,4,0,4,4,8
2017,2,6,6,4,4,0,0,4,0,0,0,0,0,0,0,4,86,0,4,0,4,0,4
2017,2,6,7,0,0,4,0,8,0,0,4,0,0,0,4,0,16,0,8,0,0,8,0
2017,2,6,8,0,12,8,0,0,4,4,8,12,0,0,0,8,12,0,4,4,8,4,0
2017,2,6,9,12,20,20,0,0,4,0,8,4,0,0,4,4,61,8,12,24,4,8,8
2017,2,6,10,20,32,12,57,0,4,4,4,45,12,4,0,4,114,4,28,16,4,8,16
2017,2,6,11,4,28,20,20,4,0,4,8,20,36,0,0,8,98,0,12,4,20,4,16
2017,2,6,12,0,57,4,483,4,0,0,12,8,69,0,0,8,90,0,49,12,8,0,0
2017,2,6,13,4,82,8,36,12,0,4,8,20,24,8,0,12,127,0,8,8,20,16,8
2017,2,6,14,8,303,20,45,4,0,0,4,4,20,4,8,32,73,8,8,12,16,8,12
2017,2,6,15,8,787,16,8,4,0,0,0,28,16,0,4,8,245,12,36,16,12,24,16
2017,2,6,16,20,442,8,8,0,118,28,4,12,28,16,4,36,397,12,24,8,41,20,8
2017,2,6,17,0,245,8,0,0,-9998,0,4,20,28,8,8,61,217,8,24,16,53,36,28
2017,2,6,18,0,73,8,4,0,-9998,0,8,4,4,4,4,49,143,8,32,12,61,16,36
2017,2,6,19,0,12,4,0,4,135,4,4,4,0,4,0,24,57,8,4,0,36,16,12
2017,2,6,20,8,12,8,0,12,98,4,4,4,0,0,4,8,118,0,8,0,4,4,0
2017,2,6,21,8,16,8,4,8,32,8,28,4,4,4,0,8,139,0,20,24,0,12,0
2017,2,6,22,8,4,4,4,4,12,0,0,4,4,8,0,0,36,0,12,12,4,12,8
2017,2,6,23,0,8,4,12,4,4,0,0,8,0,12,4,0,36,8,0,4,12,24,12
2017,2,6,24,16,28,8,0,20,0,4,0,4,4,0,12,8,57,0,0,4,8,0,4
2017,2,7,1,4,32,4,4,12,0,0,0,0,0,4,0,4,8,0,4,8,4,4,4
2017,2,7,2,4,20,4,0,4,4,0,4,12,0,0,4,0,24,0,0,0,4,8,12
2017,2,7,3,4,0,4,12,4,4,0,4,12,12,0,0,0,16,0,0,4,4,0,16
2017,2,7,4,0,12,4,8,4,12,4,0,0,8,0,4,0,28,0,8,4,8,0,8
2017,2,7,5,8,8,12,0,8,4,0,0,0,4,0,0,8,36,0,4,0,12,0,8
2017,2,7,6,12,20,4,4,8,4,4,0,0,8,4,4,0,57,4,0,4,4,0,8
2017,2,7,7,16,8,0,4,4,16,0,4,8,4,12,4,8,57,0,12,4,20,4,8
