年,月,日,時,水戸,つくば,笠間,宇都宮,栃木林業,日光,前橋,子持,さいたま,飯能,寄居,船橋,市原,山武,君津,小平,高尾,横浜,川崎,厚木
2014,2,9,22,4,8,,8,4,,,4,0,8,0,8,0,0,0,4,0,0,8,0
2014,2,9,23,12,0,,0,4,,,4,0,4,0,8,4,4,8,4,0,0,16,0
2014,2,9,24,4,0,,4,0,,,0,4,8,0,0,0,0,0,0,0,4,12,0
2014,2,10,1,16,0,,0,0,,,0,4,4,4,8,4,8,0,4,0,0,8,4
2014,2,10,2,4,4,,0,0,,,0,0,0,0,0,4,0,8,0,0,0,0,0
2014,2,10,3,0,0,,0,0,,,0,0,0,0,8,4,0,4,0,0,0,0,0
2014,2,10,4,0,0,,12,0,,,4,0,0,0,4,8,12,8,0,4,4,0,0
2014,2,10,5,12,0,,0,0,,,0,4,0,0,4,8,4,0,0,0,0,4,0
2014,2,10,6,8,0,,8,0,,,0,4,12,0,4,0,8,4,4,0,0,4,0
2014,2,10,7,16,0,,4,0,,,4,0,0,8,0,0,20,4,8,0,12,8,0
2014,2,10,8,4,0,,8,4,,,4,8,8,28,0,4,4,0,12,0,12,8,0
2014,2,10,9,8,4,,20,0,,,0,12,8,20,4,0,16,4,28,8,12,20,0
2014,2,10,10,16,4,,16,4,,,0,4,8,12,4,0,8,0,8,0,12,16,0
2014,2,10,11,8,0,,16,4,,,0,12,24,0,16,8,12,0,0,16,0,28,0
2014,2,10,12,0,8,,12,28,0,,0,4,0,0,4,8,12,0,4,8,8,16,0
2014,2,10,13,0,8,,4,24,0,,0,0,0,4,0,0,16,4,0,0,4,4,0
2014,2,10,14,20,0,,4,8,0,,0,16,0,0,0,0,0,12,12,8,4,24,0
2014,2,10,15,12,0,,16,16,0,,0,20,0,4,4,8,4,8,8,8,0,36,0
2014,2,10,16,0,4,,8,8,0,,0,28,0,0,12,12,4,4,12,12,16,28,0
2014,2,10,17,36,8,,8,8,0,,0,20,4,4,4,4,0,24,28,12,24,8,0
2014,2,10,18,20,20,,4,4,0,,0,28,0,0,8,12,0,16,12,4,12,12,0
2014,2,10,19,45,16,,24,20,0,,0,49,0,4,4,36,0,4,16,0,20,20,0
2014,2,10,20,28,12,,16,8,0,,0,24,8,8,12,24,4,0,24,4,16,53,0
2014,2,10,21,4,0,,16,8,0,,4,20,0,4,8,12,4,4,8,4,8,16,0
2014,2,10,22,4,0,,8,0,0,,0,4,4,0,4,16,4,0,0,4,8,32,0
2014,2,10,23,16,4,,4,0,0,,0,4,8,0,4,16,4,0,0,0,4,36,0
2014,2,10,24,4,4,,8,0,0,,0,8,4,4,8,24,4,4,0,4,4,24,0
2014,2,11,1,4,0,,0,0,4,,0,0,4,0,12,4,16,8,0,0,4,16,0
2014,2,11,2,0,0,,8,0,0,,0,4,0,0,0,4,4,12,4,0,0,20,0
2014,2,11,3,0,16,,0,0,0,,0,0,0,0,0,8,0,8,4,0,0,20,0
2014,2,11,4,4,12,,0,0,0,,0,0,0,0,73,20,0,0,4,0,8,143,0
2014,2,11,5,4,8,,4,0,0,,0,0,0,4,-9998,-9998,-9998,-9998,4,0,0,131,0
2014,2,11,6,8,4,,0,8,4,,0,0,0,8,77,-9998,-9998,-9998,0,8,0,20,0
2014,2,11,7,24,28,,4,4,0,,0,8,0,0,-9998,-9998,-9998,-9998,0,4,4,41,0
2014,2,11,8,16,8,,0,0,0,,4,0,0,4,131,176,-9998,114,0,0,16,16,0
2014,2,11,9,24,8,,16,0,4,,0,0,8,4,-9998,122,12,-9998,4,4,0,36,0
2014,2,11,10,8,8,,20,4,4,,4,16,12,0,8,-9998,-9998,-9998,4,8,8,122,0
2014,2,11,11,20,16,,28,0,4,,0,8,4,0,28,-9998,24,245,4,4,0,77,0
2014,2,11,12,24,12,,20,0,0,,4,8,0,0,69,4,-9998,-9998,4,4,8,65,0
2014,2,11,13,24,28,,16,0,0,,4,8,0,8,0,0,4,0,12,0,8,20,0
2014,2,11,14,28,8,,0,4,0,,0,24,4,4,4,0,-9998,4,0,0,0,77,0
2014,2,11,15,12,4,,8,4,4,,0,16,4,0,0,4,0,0,4,0,16,36,0
2014,2,11,16,4,0,,4,0,0,,0,8,4,4,0,4,0,4,0,8,12,24,0
2014,2,11,17,24,0,,20,4,0,,0,8,4,20,0,12,0,4,4,4,4,12,0
2014,2,11,18,12,12,,12,12,8,,0,4,12,32,0,0,0,0,4,8,4,8,0
2014,2,11,19,8,4,,8,12,4,,0,24,8,24,4,0,0,0,4,4,8,12,0
2014,2,11,20,28,4,,12,4,4,,0,8,12,36,0,4,0,8,4,16,0,12,0
2014,2,11,21,0,0,,4,4,0,,0,8,4,8,4,8,8,4,16,12,0,16,0
2014,2,11,22,0,4,,8,4,0,,0,12,8,16,4,8,0,0,8,20,20,32,0
2014,2,11,23,4,4,,8,0,0,,0,0,16,8,0,4,8,4,0,4,20,12,0
2014,2,11,24,4,0,,4,0,0,,0,8,0,0,0,16,4,12,0,0,4,16,0
