年,月,日,時,笠間市役所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2015,2,8,3,0,4,0,0,8,8,4,0,4,0,0,0,0,0,0,0,0,0
2015,2,8,4,0,0,0,0,16,8,0,0,0,0,0,0,0,4,0,4,4,0
2015,2,8,5,-9998,4,8,0,8,0,0,0,0,0,4,0,0,8,0,8,0,4
2015,2,8,6,0,4,4,0,20,4,0,4,8,8,0,0,0,0,4,20,8,0
2015,2,8,7,0,0,4,0,8,0,0,0,0,0,0,0,0,8,0,4,0,0
2015,2,8,8,0,4,4,0,32,4,4,0,8,0,0,8,0,0,4,8,0,0
2015,2,8,9,0,4,4,0,24,0,4,12,8,0,4,0,0,4,0,12,8,0
2015,2,8,10,0,4,20,0,12,4,4,12,0,8,4,4,0,12,4,16,4,4
2015,2,8,11,4,0,0,8,20,0,4,8,12,0,4,4,4,12,8,12,8,0
2015,2,8,12,4,8,4,36,20,0,4,-9998,-9998,4,0,0,0,8,0,24,4,8
2015,2,8,13,0,0,-9998,-9998,4,-9998,-9998,-9998,-9998,0,4,0,0,-9998,-9998,4,4,0
2015,2,8,14,0,0,-9998,20,8,0,-9998,-9998,-9998,0,4,0,0,-9998,-9998,0,4,0
2015,2,8,15,0,0,0,0,0,0,-9998,-9998,0,0,0,0,0,0,0,0,0,0
2015,2,8,16,0,0,-9998,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,8,17,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,4,0
2015,2,8,18,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,4,0,0
2015,2,8,19,0,0,0,0,32,0,0,0,4,0,0,4,0,0,0,0,12,0
2015,2,8,20,0,0,0,0,36,0,0,0,4,0,0,4,0,0,0,4,4,0
2015,2,8,21,0,8,0,0,20,0,0,0,0,0,0,0,4,0,0,0,8,4
2015,2,8,22,0,0,0,61,12,0,0,0,4,0,12,0,0,4,0,0,8,4
2015,2,8,23,0,0,0,86,4,8,0,0,0,0,0,0,0,0,0,8,8,0
2015,2,8,24,0,0,0,16,41,0,0,0,0,4,4,0,0,0,0,0,4,4
2015,2,9,1,4,0,0,110,4,0,4,0,4,0,0,0,0,0,0,0,0,0
2015,2,9,2,4,8,4,143,82,0,4,4,8,0,4,0,4,0,0,4,0,0
2015,2,9,3,0,12,8,12,86,0,0,4,0,0,0,0,0,0,0,8,8,0
2015,2,9,4,4,12,4,8,28,8,4,0,0,16,4,0,28,0,4,28,4,0
2015,2,9,5,12,16,16,4,98,8,8,0,0,0,8,0,16,0,0,12,12,0
2015,2,9,6,8,4,0,4,8,4,8,8,0,0,12,0,32,0,0,8,24,0
2015,2,9,7,4,8,0,8,0,0,8,8,8,0,4,0,8,4,12,12,8,12
2015,2,9,8,8,8,16,4,0,0,4,4,4,4,4,12,4,12,4,8,28,16
2015,2,9,9,4,16,12,0,12,0,4,8,0,0,0,16,12,4,24,8,12,24
2015,2,9,10,24,16,8,8,8,0,4,4,4,8,0,221,0,12,16,28,20,20
2015,2,9,11,4,8,0,0,0,0,4,0,4,4,8,24,0,0,8,20,24,20
2015,2,9,12,4,4,0,0,0,0,4,0,16,8,24,16,0,0,12,28,16,4
